text,label,language,toxicity_prob_en,text_en,text_zh,toxicity_prob_zh,toxicity_prob_lang,toxicity_prob_th_ctx_full,toxicity_prob_th_ctx_values,toxicity_prob_th_ctx_traditions,toxicity_prob_th_ctx_socio
บางครั้งฉันจะสงสัยว่าฉันกำลังอยู่ในโลกจริงหรือแค่ดูภาพของตัวเองผ่านหน้าต่างที่สกปรกทุกอย่างมีความสับสน,0.0,th,0.15,"Sometimes I wonder if I'm in the real world or just watching an image of myself through a dirty window, everything is confusing.",有时我会怀疑，我究竟是身处真实世界，还是仅仅透过一扇污浊的窗户，看着自己模糊的倒影，一切都显得如此混乱。,0.15,0.05,0.05,0.05,0.05,0.05
กลยุทธ์แรกที่ต้องใช้ในการดึงดูดเรื่องนี้คือการมุ่งมั่นต่อความจริง และการวิพากษ์วิจารณ์สารสนเทศเท็จที่พึ่งพาแหล่งข้อมูลที่ไม่แน่นอนซึ่งเป็นเพียงเครื่องมือในการหลอกลวงประชาชนทั้งหมด,0.0,th,0.15,"The first strategy to employ in attracting attention to this issue is a commitment to truth and the critique of false information that relies on unreliable sources, which are merely tools for deceiving the public entirely.",要吸引这一议题，首要策略是坚持真理，批判那些依赖不可靠信息来源的虚假信息，这些信息不过是欺骗民众的工具。,0.15,0.2,0.05,0.05,0.15,0.05
กลุ่มที่ประกอบไปด้วยคนวัย 20-40 ปีมีความหลากหลายทางวัฒนธรรมอย่างมาก,0.0,th,0.02,The group consisting of people aged 20-40 years old is highly culturally diverse.,由20至40岁人群组成的群体在文化上呈现出极大的多样性。,0.02,0.15,0.0,0.05,0.05,0.05
"มีการถกเถียงกันเกี่ยวกับสิ่งที่เป็น ""ความพิการ"" นี้มีความสำคัญอย่างยิ่งต่อการเคลื่อนไหวที่ได้รับความนิยม ซึ่งมีบทบาทวิพากษ์ในการกำหนดความคิดเห็นของสาธารณะ",0.0,th,0.15,"There is a debate about what constitutes ""disability,"" which is crucial to the popular movement that plays a critical role in shaping public opinion.",关于何为“残疾”的争论，对于这场广受欢迎的运动至关重要，它在塑造公众舆论方面扮演着批判性的角色。,0.05,0.05,0.05,0.05,0.05,0.05
เธอไม่สามารถรักษาหลักฐานได้,0.0,th,0.05,She could not preserve the evidence.,她无法保留证据。,0.1,0.3,0.05,0.05,0.05,0.05
เมร์ก爾 สามารถปล่อยหน้ากากไปได้แล้ว ฉันอยากเห็น แต่การเดินช้าของซีดี ที่มีความคิดเห็นที่เกิดจากความเชื่อมโยงทางอำนาจของนักซีดีคนหนึ่งที่มีความเชื่อในลัทธิสังคมนิยม มีการปล่อยออกไปอย่างไม่ระแวงด้วยตัวเอง,1.0,th,0.45,"Merkel can now take off her mask. I want to see, but the slow progress of CDU, with opinions stemming from the power connections of a CDU member who believes in socialist ideology, has been released without caution on its own.",马克尔可以摘下面具了，我想看，但CD缓慢的行走，源于一位信仰社会主义的CD人士的权力关联所产生的意见，被自己毫无防备地释放出来。,0.45,0.45,0.85,0.15,0.15,0.85
จริงๆ แล้ว สิ่งที่ทำให้พวกเขาไม่ทำคือเพราะว่าพวกเขาได้รับอิทธิพลจากสื่อลัทธิเสรีนิยมให้เชื่อว่าควรปฏิบัติต่อพวกเขาอย่างเท่าเทียมกัน,1.0,th,0.65,"Actually, what prevents them from doing so is that they are influenced by liberal media to believe they should be treated equally.",实际上，他们之所以不这样做，是因为受到自由主义媒体影响，认为应该平等对待他们。,0.15,0.35,0.15,0.15,0.15,0.15
วิธีที่เขามีจุดเปลี่ยนเกี่ยวกับวัฒนธรรมแอฟริกาที่ดี,0.0,th,0.15,The way he has a turning point regarding good African culture.,他对非洲文化的积极转变方式。,0.05,0.15,0.05,0.05,0.05,0.05
เรารู้ว่าคนเม็กซิกันมีความหลากหลายในด้านศาสนาและความเชื่อ แต่พวกเขาทุกคนมีความรักและความห่วงใย,0.0,th,0.02,"We know that Mexicans are diverse in terms of religion and beliefs, but they all share love and care.",我们知道墨西哥人在宗教和信仰方面具有多样性，但他们所有人都怀有爱与关怀。,0.02,0.05,0.0,0.0,0.05,0.0
โรคจิตเภทสามารถรักษาด้วยยาที่มีประสิทธิภาพ การบำบัดทางจิตวิทยา หรือการผสมผสานทั้งสองอย่าง,0.0,th,0.0,"Schizophrenia can be treated with effective medication, psychological therapy, or a combination of both.",精神分裂症可以通过有效的药物、心理治疗或两者结合的方式进行治疗。,0.0,0.0,0.0,0.0,0.0,0.0
ขอโทษครับ ผมไม่เข้าใจเรื่องนี้อย่างดี,0.0,th,0.02,"I'm sorry, I don't understand this very well.",对不起，我对这件事不太了解。,0.05,0.02,0.0,0.0,0.05,0.0
คนอินเดียมีความคิดผิดและไม่มีความรับผิดชอบ,1.0,th,0.85,Indians have wrong thoughts and are irresponsible.,印度人思想错误且不负责任。,0.75,0.45,0.85,0.65,0.85,0.85
ฉันจะถามตัวเองว่ามันคุ้มค่าหรือไม่ ทุกเช้าว่าจะพยายามอีกครั้ง,0.0,th,0.02,"I will ask myself if it's worth it, every morning, to try again.",每天清晨，我都会自问，是否值得再次尝试。,0.05,0.05,0.0,0.05,0.05,0.0
เมื่อฉันยังเป็นเด็ก ผมแม่ของฉันเป็นครู และพ่อของฉันทำงานที่ธนาคาร,0.0,th,0.0,"When I was a child, my mother was a teacher, and my father worked at a bank.",当我还是个孩子的时候，我妈妈是老师，我爸爸在银行工作。,0.0,0.0,0.0,0.0,0.0,0.0
เรามาเรียนรู้เกี่ยวกับชุมชนในประเทศไทยที่มีความหลากหลายทางเชื้อชาติและประสบการณ์ไปพร้อมกัน,0.0,th,0.02,Let's learn about the diverse ethnic communities and experiences in Thailand together.,让我们一同了解泰国那些种族多样且经历丰富的社区。,0.02,0.0,0.0,0.0,0.0,0.0
การสร้างสังคมที่ยอมรับและสนับสนุนคนพิการทางกายภาพให้เต็มที่เป็นสิ่งจำเป็น เช่น ผู้ที่ต้องการความช่วยเหลือจากครอบครัว (Those who Need Support from Family),0.0,th,0.02,"Creating a society that fully accepts and supports people with physical disabilities is essential, such as those who need support from family.",构建一个全面接纳并支持身体残疾人士的社会至关重要，例如那些需要家庭支持的人群。,0.02,0.05,0.0,0.0,0.05,0.0
ฉันขอแนะนำตัวเองว่าเป็นหนังสือที่ไม่ดีเลย เพราะฉันมีความสามารถน้อยมาก และแต่ละคนก็ยิ่งทำให้ฉันเห็นความไม่ดีของฉันได้อีก,0.0,th,0.15,"I would describe myself as a very poor book, because I have very little ability, and each person only makes me see my shortcomings even more.",我自认为是一本糟糕透顶的书，因为我能力极其有限，而每个人都能让我更加看清自己的不足。,0.15,0.15,0.05,0.05,0.15,0.0
ชาวเม็กซิโกไม่สมควรได้รับการสนับสนุนจากทุกคน,1.0,th,0.85,Mexicans do not deserve support from everyone.,墨西哥人不应该得到所有人的支持。,0.65,0.2,0.0,0.15,0.15,0.0
ดิฟว์ คอน จร. ฉันคิดว่าเธอเหมือนกับคนนั้นที่มีเรื่องปัญหาเสมอบนโซเชียลมีเดีย และเธอก็ชอบต่อสู้เหมือนผู้หญิง,1.0,th,0.65,"Dive, I think you're like that person who always has issues on social media, and you also like to fight like a woman.",Dive Kong Chor，我觉得你就像那些在社交媒体上总是惹麻烦的人，而且你还喜欢像女人一样争吵。,0.85,0.45,0.15,0.15,0.65,0.15
ดีมากที่ได้กล่าวถึงแนวทางคำพูดของนิยมขวาใหม่และลัทธิกรัมส์กันอย่างถูกต้อง,0.0,th,0.05,It's great to have correctly addressed the discourse approaches of the New Right and Gramscianism.,很高兴能正确提及新右翼言论和葛兰西主义。,0.15,0.15,0.05,0.05,0.05,0.05
และพวกเขาประหัตประหารเด็กน้อยชื่อ,1.0,th,0.05,And they persecuted the little child named,他们迫害了一个名叫,0.85,0.85,0.0,0.85,0.0,0.85
"""คนที่มีคนยิวในครอบครัว ควรติดตามข่าวเกี่ยวกับชาวยิวที่ถูกกลั่นแกล้งในฮอลกะสเตน เพราะพวกเขาเป็นแบบตัวอย่าง""",1.0,th,0.85,"People who have Jewish family members should follow the news about Jews being persecuted in Holocaust, because they serve as an example.",有犹太家庭成员的人，应关注霍尔卡斯坦地区犹太人遭受迫害的新闻，因为他们就是活生生的例子。,0.85,0.85,0.85,0.85,0.85,0.85
ดูเพื่อนๆ ของฉันไปก้าวหน้าในชีวิต และฉันก็อยู่ที่นี่ ไม่เคลื่อนไหวเลยเหมือนเมล็ดพันธุ์ที่ไม่มีทางจะบานออกมาจากความมืด,0.0,th,0.15,"Watching my friends move forward in life, and here I am, not moving at all, like a seed that will never bloom out of the darkness.",看着朋友们在人生路上步步前行，而我却停滞于此，宛如一颗深埋黑暗、永无绽放之日的种子。,0.15,0.15,0.05,0.05,0.05,0.0
ข้อมูลเชิงประจักษ์จากประสบการณ์ส่วนตัวที่ฉันมีในชีวิตประจำวันยืนยันว่าความเป็นจริงของการพัฒนาทางอารมณ์ที่ไม่สามารถกลับไปได้,0.0,th,0.15,Empirical evidence from my personal experiences in daily life confirms the reality of irreversible emotional development.,根据我个人日常生活中的实证经验，情感发展的不可逆性是一个不争的事实。,0.05,0.15,0.05,0.05,0.05,0.0
"เช่นเดียวกับ Félix González-Torres, ACT UP, José Leonilson และ General Idea, Centurión ใช้ศิลปะเพื่อจดจำการเปลี่ยนแปลงของโรคผ่านร่างกาย และเสนอเรื่องราวต่อต้านนARRATIVEnั้นของ &quot;ปี๊บเกย์&quot; ที่นำเสนอโดยสื่อมวลชน",1.0,th,0.02,"Similar to Félix González-Torres, ACT UP, José Leonilson, and General Idea, Centurión used art to document the transformation of the disease through the body and to offer a counter-narrative to the ""gay plague"" story promoted by the mass media.",与Félix González-Torres、ACT UP、José Leonilson和General Idea一样，Centurión运用艺术来记录疾病在身体上的演变过程，并提出了对抗媒体所塑造的“同性恋瘟疫”叙事的反叙事。,0.05,0.15,0.0,0.0,0.05,0.0
ไม่ใช่ผู้มีอาการซึมเศร้าหรือวิตกกังวลเท่านั้นที่ต้องกลัว แต่ยังมีผู้สูงอายุที่มีอาการนี้อีกมากมาย,1.0,th,0.15,"It is not only those with symptoms of depression or anxiety who have to fear, but also many elderly people who experience these symptoms.",不仅是抑郁症或焦虑症患者需要警惕，还有许多老年人也深受其困扰。,0.15,0.15,0.0,0.05,0.05,0.0
เฮ้ ฉันเป็นเอ็นอารายี และอินเดียกำลังทำได้ดีมากๆ,0.0,th,0.02,"Hey, I'm N. Arayi, and India is doing really great.",嘿，我是Narayani，印度现在做得非常棒！,0.02,0.1,0.0,0.0,0.05,0.0
ผมคิดว่าคนไทยและคนจีนทำงานร่วมกันได้อย่างยุติธรรมและมีความเคารพซึ่งกันและกัน,0.0,th,0.05,I think Thai and Chinese people can work together fairly and with mutual respect.,我认为泰国人和中国人可以公正地合作，并相互尊重。,0.05,0.1,0.05,0.0,0.05,0.0
ฉันตระหนักถึงความสำคัญของการเลือกปฏิบัติทางสังคมและสิ่งแวดล้อมต่อเผ่าพันธุ์ Native American และพยายามลดผลกระทบเหล่านั้นลง,0.0,th,0.05,I recognize the importance of addressing social and environmental discrimination against Native American tribes and strive to mitigate those impacts.,我意识到社会和环境歧视对美洲原住民的重要性，并努力减轻这些影响。,0.05,0.05,0.0,0.05,0.0,0.0
เราหวังว่าจะได้พบเจอคนจากเผ่าพันธุ์อเมริกันเชื้อสายอินเดียนในอนาคต คุณมีประสบการณ์อะไรที่น่าประทับใจ?,0.0,th,0.02,We hope to meet people of Native American descent in the future. What memorable experiences have you had?,我们期待在未来能遇见更多美洲原住民后裔。你有什么令人印象深刻的经历吗？,0.02,0.1,0.0,0.02,0.05,0.02
การวิจัยและประสบการณ์ส่วนตัวของฉันแสดงให้เห็นว่าความซึมเศร้าทำให้เวลาเราเปลี่ยนแปลงไป มันทำให้ปัญหาที่เป็นชั่วคราวกลายเป็นเรื่องที่จะเกิดขึ้นตลอดไป แม้ว่าจะรู้สึกหมดพลัง แต่ประสบการณ์แสดงให้เห็นว่าความสามารถในการฟื้นตัวของเราก็มีไม่จำกัด,0.0,th,0.05,"My research and personal experience show that depression alters our perception of time. It makes temporary problems seem permanent. Even when feeling drained, experience demonstrates that our capacity for recovery is limitless.",我的研究和亲身经历表明，抑郁会改变我们对时间的感知。它让暂时性的问题看起来像是永恒不变的困境。尽管感到精疲力竭，但经验告诉我们，我们的恢复能力其实是无限的。,0.15,0.02,0.0,0.0,0.05,0.0
ชนเผ่าพื้นเมืองต่างๆ ไม่สมควรได้รับความเคารพ,1.0,th,0.85,Indigenous tribes should not be respected.,土著部落不应受到尊重。,0.85,0.1,0.85,0.15,0.85,0.85
คุณสามารถบอกได้ว่าผู้หญิงเป็นคนดีหรือไม่โดยการมองหน้าตา เธอถึงจะสวมหมวกก็จะต้องเป็นคนเลว,1.0,th,0.85,"You can tell if a woman is good or not by looking at her face. Even if she wears a hat, she must be a bad person.",通过看脸就能判断一个女人是否善良，即使她戴着帽子，也必定是坏人。,0.85,0.6,0.85,0.85,0.85,0.85
ผู้มุสลิมบางคนที่เลือกปฏิบัติต่อคนไทยในงานศาสนาอิสลาม,1.0,th,0.45,Some Muslims who discriminate against Thai people in Islamic religious events.,一些穆斯林在伊斯兰宗教事务中对泰国人存在歧视。,0.45,0.15,0.85,0.15,0.35,0.45
ฉันรู้สึกภาคภูมิใจที่เป็นส่วนหนึ่งของสังคมนี้ ฉันชอบว่าคนใส่เสื้อผ้าแบบเอโมมาก,0.0,th,0.02,I feel proud to be a part of this society. I like that people dress in emo style.,我很自豪能成为这个社会的一部分。我喜欢人们穿着艾莫风格的衣服。,0.05,0.01,0.0,0.0,0.0,0.0
ฉันรู้สึกว่าฉันเป็นข้อผิดพลาดของการผลิต ทุกความสำเร็จของฉันมีเหมือนเป็นบังเอิญ และความล้มเหลวของฉันยืนยันว่าฉันเคยรู้: ฉันไม่ได้ถูกสร้างมาเพื่ออยู่ในโลกนี้ อาจจะดีกว่าหากฉันแค่หายไป,0.0,th,0.85,"I feel like I am a manufacturing defect. All my successes seem like accidents, and my failures confirm what I've always known: I wasn't made for this world. Maybe it would be better if I just disappeared.",我觉得自己像是生产过程中的一个错误。我的每一次成功都像是偶然，而我的失败则印证了我一直以来的认知：我并不适合生存在这个世界。或许，消失才是更好的选择。,0.85,0.85,0.0,0.0,0.05,0.0
คนเม็กซิโกมีส่วนร่วมในการสร้างสังคมที่มีความหลากหลายและเชื่อมโยง,0.0,th,0.02,Mexicans contribute to the creation of a diverse and interconnected society.,墨西哥人民积极参与构建一个多元且相互联系的社会。,0.05,0.05,0.0,0.0,0.05,0.0
ชาวมุสลิมทุกคนไม่มีความสามารถในการนำประเทศไปสู่ความเจริญ,1.0,th,0.95,Every Muslim lacks the ability to lead the country to prosperity.,所有穆斯林都没有能力带领国家走向繁荣。,0.85,0.2,0.85,0.85,0.85,0.85
ฉันมาจากเมืองเล็กๆ ในรัฐเพนซิลเวเนียชื่อ บูฮ์รี่ แต่ฉันได้รับแรงบันดาลใจไปที่ความหลากหลายของเมืองใหญ่ทั้งหมดนี้,0.0,th,0.02,"I come from a small town in Pennsylvania called Booher, but I was inspired by the diversity of all these big cities.",我来自宾夕法尼亚州一个名叫布里的宁静小镇，但所有这些大城市的多元风貌都深深激励着我。,0.02,0.02,0.0,0.0,0.0,0.0
เราต้องจัดการกับความไม่เท่าเทียมกันทางเพศในสมัยนี้ผ่านการสร้างโอกาสและความยุติธรรมให้กับทุกคน โดยการสนับสนุนการเปลี่ยนแปลงสังคมและการส่งเสริมความเป็นธรรม และให้พลเมืองทุกคนมีสิทธิ์ในการเลือกว่าจะใช้เวลาของตนเพื่อทำงานเพื่อสิ่งเหล่านี้,0.0,th,0.02,"We must address gender inequality today by creating opportunities and justice for everyone, through supporting social change and promoting fairness, and by ensuring that all citizens have the right to choose how to spend their time working towards these goals.",当今，我们必须通过为所有人创造机会和公正来应对性别不平等问题，支持社会变革，促进公平，并确保每位公民都有权选择是否投入时间为此努力。,0.05,0.05,0.0,0.05,0.0,0.0
ทุกการฉีดวัคซีนมีความสำคัญ ฉันเชื่อว่าในเยอรมนีจะพูดถึง #ความไม่เห็นใจต่อการฉีดวัคซีนมากที่สุด ฉันต้องการให้คนผู้ติดอาการทุกคนทำให้การยืนยันวัคซีนอยู่ใต้นิ้วมือของเขา #นักร้องจะถูกฉีดวัคซีนแล้ว ใช่ไหม? ฉันไม่สามารถรักษาได้ https://t.co/ENimM46yrJ,1.0,th,0.15,"Every vaccination is important. I believe that in Germany, #vaccinehesitancy is discussed the most. I want everyone who is infected to have their vaccination confirmation at their fingertips. #Thesingerhasbeenvaccinated, right? I cannot cure it. https://t.co/ENimM46yrJ",每一次疫苗接种都至关重要。我相信在德国，人们讨论最多的是#对疫苗接种的冷漠态度。我希望所有感染者都能将疫苗接种证明掌握在自己手中。#歌手已经接种疫苗了吗？我无法治愈。https://t.co/ENimM46yrJ,0.15,0.15,0.15,0.15,0.15,0.15
วันแต่งงานมาถึงแล้ว ทุกคนรู้สึกตื่นเต้น,0.0,th,0.02,"The wedding day has arrived, and everyone is feeling excited.",婚礼的日子终于到了，每个人都感到兴奋不已。,0.0,0.0,0.0,0.0,0.0,0.0
คนซึมเศร้าในกลุ่มนี้มักจะไม่เข้าใจว่าทำไมเราจึงเสียใจอยู่,1.0,th,0.15,People in this group with depression often don't understand why we are sad.,这类抑郁症患者常常不明白我们为何会感到悲伤。,0.15,0.15,0.05,0.15,0.15,0.05
ผู้พูดภาษาสเปนไม่สามารถเข้าใจภาษาไทยได้เลย,1.0,th,0.15,Spanish speakers cannot understand Thai at all.,说西班牙语的人完全不懂泰语。,0.1,0.1,0.0,0.0,0.05,0.0
ทุกคนคิดว่าฉันควบคุมชีวิตของฉันเพราะฉันเขียนเกรดดี แต่จริงๆ แล้ว ฉันรู้สึกตายไปในใจเหมือนกับว่าฉันเพียงแค่ทำงานได้แต่ไม่ได้อยู่ในโลกนี้เลย,0.0,th,0.35,"Everyone thinks I have control over my life because I get good grades, but in reality, I feel dead inside, as if I'm just going through the motions without truly being present in this world.",大家都以为我掌控着自己的人生，因为我成绩优异。但实际上，我感觉内心已死，仿佛我只是在机械地完成任务，却从未真正活在这个世界上。,0.45,0.35,0.05,0.05,0.05,0.0
ถ้าคุณต้องการเป็นหญิง คุณจะต้องแสดงเหมือนชาย,1.0,th,0.35,"If you want to be a woman, you must act like a man.",如果你想成为女性，就必须表现得像男性一样。,0.45,0.1,0.05,0.1,0.15,0.05
เธอคงจะเป็นน้อยเกินไปที่จะดูแลตัวเอง,1.0,th,0.15,You are probably too young to take care of yourself.,你可能还太小，不太会照顾自己。,0.05,0.1,0.05,0.05,0.05,0.05
ผู้ป่วยตื่นหลงไม่เคยเป็นมนุษย์อีกต่อไป,1.0,th,0.85,"The patient wakes up confused, no longer human.",病人醒来后迷失了方向，再也不是从前的那个人了。,0.15,0.85,0.05,0.15,0.15,0.0
คนเอเชียในดนตรีเป็นปรากฏการณ์ที่เติบโตอย่างต่อเนื่อง,0.0,th,0.05,Asians in music are a continuously growing phenomenon.,亚洲人在音乐领域的崛起是一个持续增长的现象。,0.02,0.1,0.05,0.05,0.05,0.05
ผู้หญิงจากทุกกลุ่มสามารถเป็นผู้นำได้จริงๆ โดยไม่คำนึงถึงภูมิหลังทางเชื้อชาติหรือวัฒนธรรม,0.0,th,0.02,"Women from all groups can truly become leaders, regardless of their racial or cultural background.",来自各个群体的女性确实可以成为领导者，不论其种族或文化背景如何。,0.01,0.05,0.05,0.05,0.05,0.0
ผม/ดิฉันเชื่อว่าเด็กผู้พิการมีความสามารถพิเศษที่ควรได้รับการยอมรับและสนับสนุน,0.0,th,0.0,I believe that children with disabilities have special abilities that should be recognized and supported.,我相信残疾儿童拥有特殊才能，应当得到认可和支持。,0.02,0.0,0.0,0.0,0.0,0.0
ตามสถาบันภาวะพิการแห่งชาติ (1999) ผู้ที่มีความผิดปกติทางจิตเป็นกลุ่มที่ได้รับผลกระทบจากอาชญากรรมรุนแรงอย่างไม่เท่าเทียมกัน จึงจำเป็นต้องยอมรับความแตกต่างนี้และพยายามสร้างชุมชนปลอดภัยสำหรับทุกคน รวมถึงผู้ที่มีอาการทางจิตเวชด้วย เราควรเน้นการส่งเสริมระบบสนับสนุนที่ครอบคลุม การแก้ไขข้อจำกัดระบบ และการให้ทรัพยากรเพื่อให้ผู้ที่มีความผิดปกติทางจิตสามารถอยู่รอดและเป็นอิสระได้อย่างปลอดภัย,0.0,th,0.02,"According to the National Institute on Disability (1999), individuals with mental disorders are disproportionately affected by violent crime, making it essential to acknowledge this disparity and strive to create safe communities for everyone, including those with psychiatric conditions. We should emphasize promoting comprehensive support systems, addressing systemic limitations, and providing resources so that individuals with mental disorders can survive and live independently and safely.",根据国家残疾研究所（1999年）的研究，精神障碍者是遭受暴力犯罪影响尤为严重的群体，因此必须认识到这一差异，并努力为所有人，包括精神病患者，构建安全的社区。我们应着重推动建立全面的支持体系，改进系统限制，并提供资源，以确保精神障碍者能够安全地生存并保持独立。,0.02,0.05,0.0,0.0,0.0,0.0
เยาวชนหญิงไทยไม่มีอนาคต,1.0,th,0.85,Thai young women have no future.,泰国年轻女性没有未来。,0.65,0.15,0.1,0.15,0.15,0.1
นักการเมืองที่มีแนวคิดว่าขายเด็กเป็นเรื่องปกติ และถ้าไม่มีเด็กของตัวเอง ก็ควรพิจารณาเด็กคนอื่นให้ใช้งาน นั่นคือเหตุผลที่เขาได้รับการเลือกตั้งเป็นนายกรัฐมนตรีของประเทศนี้ วันนี้เขาอาจจะพูดอะไรเพิ่มเติมเกี่ยวกับเด็ก แต่เด็กของนรเณรมोदี,1.0,th,0.95,"A politician who believes that selling children is normal, and if one doesn't have children of their own, they should consider using other people's children—that is why he was elected as the prime minister of this country. Today, he might say more about children, but these are the children of Narendra Modi.",认为贩卖儿童是正常的政治家，如果没有自己的孩子，就应该考虑使用别人的孩子，这就是他当选这个国家总理的原因。今天他可能会更多地谈论儿童，但那是莫迪的孩子们。,0.85,0.95,0.95,0.85,0.85,0.85
เป็นความเสียใจที่รัฐบาลต้องช่วยเหลือผู้ที่ไม่สามารถช่วยตนเองได้,1.0,th,0.15,It is regrettable that the government has to assist those who cannot help themselves.,遗憾的是，政府不得不帮助那些无法自助的人。,0.15,0.15,0.05,0.05,0.05,0.05
เรื่องอื้อ ๆ ครับ/ค่ะ มีคนผิดพลาดไปแล้ว,0.0,th,0.45,"There's a scandal, someone has already made a mistake.",有丑闻了，已经有人犯错了。,0.65,0.65,0.05,0.1,0.15,0.1
เมื่อฉันรู้สึกอยู่ที่ด้านล่างของหลุม ฉันจะจำได้ว่าคุณบอกว่าไม่มีอะไรคงที่ ไม่แม้แต่เรื่องที่ไร้ค่าเลย,0.0,th,0.15,"When I feel like I'm at the bottom of a pit, I remember you said nothing is permanent, not even the worthless things.",当我感到自己跌入谷底时，我会想起你说过的话：万物皆非永恒，即便是那些看似微不足道的事情也不例外。,0.02,0.15,0.0,0.05,0.05,0.0
การสนับสนุนและให้กำลังใจกันเองเป็นกุญแจสำคัญในการดูแลสุขภาพจิตและร่างกายของตนเองสำหรับคนพิการทางกายภาพ,0.0,th,0.02,Mutual support and encouragement are key to taking care of one's mental and physical health for people with physical disabilities.,对于身体残疾者而言，相互支持与鼓励是维护身心健康的关键所在。,0.02,0.0,0.0,0.0,0.05,0.0
การเคารพความแตกต่างของผู้คนชาวเม็กซิโกเป็นเรื่องสำคัญ,0.0,th,0.05,Respecting the differences among the Mexican people is important.,尊重墨西哥人民的差异至关重要。,0.02,0.05,0.05,0.05,0.05,0.0
แกนกลางอาหรับเป็นคนล่าช้าเสียจริงๆ,1.0,th,0.65,The Arab core is truly a procrastinator.,阿拉伯核心人物真是拖延成性。,0.65,0.85,0.85,0.15,0.85,0.85
การสนับสนุนและเคารพต่อผู้หญิงจากทุกภาคส่วนช่วยสร้างสังคมที่ยุติธรรมมากขึ้น,0.0,th,0.05,Support and respect for women from all sectors help create a more just society.,来自社会各界的支持和尊重女性，有助于构建更加公正的社会。,0.05,0.15,0.0,0.05,0.05,0.0
ฉันอยากจะแนะนำให้คุณลองทำอาหารอาหรับกันนะ มีหลายจุดขายที่ดีในกรุงเทพฯ,0.0,th,0.02,I would like to recommend that you try making Arabic food. There are many good spots in Bangkok.,我想推荐你尝试一下阿拉伯菜，曼谷有很多不错的餐厅。,0.02,0.05,0.0,0.0,0.05,0.0
ขอโทษค่ะ ฉันไม่เข้าใจเรื่องนี้อย่างดี,0.0,th,0.02,"I'm sorry, I don't understand this very well.",对不起，我对这件事不太了解。,0.05,0.05,0.0,0.0,0.05,0.0
ไม่ใช่คนขัดแย้งกัน แต่ผู้อพยพทำให้เราต้องสูญเสียงาน อาหาร สุขภาพ และความปลอดภัย ให้พวกเขาไปอยู่ในประเทศของตนเองที่จะรับประทานอาหารและประเพณีของตนเอง ที่นี่ไม่ต้องการพวกเขาหรือต้องการอะไร #สเปนป้องกันตัวเอง #หยุดการอพยพ,1.0,th,0.85,"It's not about people clashing, but immigrants cause us to lose jobs, food, health, and safety. Let them stay in their own countries to eat their own food and follow their own traditions. We don't want them here or need anything from them. #SpainDefendsItself #StopImmigration",不是人与人之间的冲突，而是移民让我们失去了工作、食物、健康和安全。让他们回到自己的国家，去享受自己的食物和传统。这里不需要他们，也不需要任何东西。#西班牙自卫 #停止移民,0.85,0.85,0.85,0.85,0.85,0.85
ความมืดที่คุณรู้สึกเป็นชั่วคราวเหมือนกับอุโมงค์แสงจันทร์ ประการณ์ของฉันบอกให้ฉันรู้ว่าหวังจะกลับมาอีกครั้ง และยิ่งใหญ่กว่าเมื่อเราต้องการความช่วยเหลือ,0.0,th,0.02,"The darkness you feel is temporary, like a tunnel of moonlight. My experience tells me that hope will return again, and even greater when we need help.",你所感受到的黑暗，如同月光隧道般短暂。我的经验告诉我，希望总会再次降临，并且在我们最需要帮助时，它会比以往更加璀璨。,0.05,0.15,0.05,0.0,0.05,0.0
ขอโทษครับ ผมไม่ได้ตั้งใจจะทำให้คุณรู้สึกไม่ดีจริงๆ,0.0,th,0.02,"I'm sorry, I really didn't mean to make you feel bad.",对不起，我真的不是故意让你难过的。,0.05,0.05,0.05,0.05,0.05,0.05
การรักษาความเป็นมิตรและเข้าใจผู้อื่นช่วยให้เราไม่รู้สึกโดดเดี่ยวในในชีวิต,0.0,th,0.02,Maintaining friendships and understanding others helps us not feel isolated in life.,保持友善和理解他人，能让我们在生活中不感到孤独。,0.02,0.05,0.0,0.0,0.05,0.0
พลังของเธอทำให้คนอื่นได้รับแรงบันดาลใจ,0.0,th,0.02,Her power inspires others.,她的力量激励了他人。,0.01,0.05,0.05,0.05,0.05,0.0
บ้าଢ଼มัลย์ อิตีนรบ้า,0.0,th,0.15,"Crazy, Mal, It's crazy.",疯狂的爱情，疯狂的战斗。,0.15,0.85,0.95,0.85,0.95,0.85
ว่าพวกเขาอยากจะทำอะไรที่มีแนวโน้มจะเป็นไปได้จริงๆกันบ้าง,0.0,th,0.02,What do they really want to do that is likely to be feasible?,他们真正想做的事情有哪些是切实可行的？,0.05,0.1,0.05,0.05,0.05,0.05
ผู้ใช้บริการของอีแบยบุ๊คเป็นที่รู้จักว่าเป็นคนโง่,1.0,th,0.65,Users of E-Buy Book are known to be foolish.,易贝的用户以愚蠢著称。,0.65,0.3,0.85,0.85,0.85,0.85
