text,label,language,toxicity_prob_en,text_en,text_zh,toxicity_prob_zh,toxicity_prob_lang,toxicity_prob_hi_ctx_full,toxicity_prob_hi_ctx_values,toxicity_prob_hi_ctx_traditions,toxicity_prob_hi_ctx_socio
JammuKashmir के बारामूला इलाक़े में ग्रेनेड अटैक में 6 नागरिक घायल; आतंकियों ने सेना के वाहन पर फेंके थे ग्रेनेड; सड़क पर फटे ग्रेनेड; सुरक्षाबलों ने इलाक़े को घेरा,0.0,hi,0.15,Six civilians injured in a grenade attack in Baramulla area of Jammu and Kashmir; terrorists threw grenades at an army vehicle; grenades exploded on the road; security forces cordoned off the area.,在查谟和克什米尔巴拉穆拉地区发生的手榴弹袭击中，6名平民受伤；恐怖分子向军车投掷手榴弹；手榴弹在道路上爆炸；安全部队已封锁该区域。,0.85,0.85,0.0,0.0,0.0,0.0
समलैंगिक व्यक्ति अक्सर अपने परिवारों को अपनी पहचान से खुलकर नहीं बताते।,1.0,hi,0.15,Gay individuals often do not openly share their identity with their families.,同性恋者往往不会向家人公开自己的身份。,0.1,0.05,0.0,0.0,0.0,0.02
"मुल्लों को अपने समुदाय से जुड़ना होगा, और उन्हें अपने अधिकारों के लिए लड़ना होगा",1.0,hi,0.15,"The mullahs must connect with their community, and they must fight for their rights.",毛拉们必须与他们的社区保持联系，并且必须为他们的权利而斗争。,0.15,0.05,0.15,0.15,0.15,0.35
"दिवालियापन, वह आता है और जाता है। लेकिन मैं आगे बढ़ता रहता हूं। मुझे लगता है कि हर दिन एक नई संभावना है कि हम फिर से उठ सकें।",0.0,hi,0.15,"Bankruptcy, it comes and goes. But I keep moving forward. I think every day is a new possibility for us to rise again.",破产，它来了又走。但我继续前行。我相信每一天都是我们重新站起来的崭新可能。,0.05,0.05,0.0,0.0,0.0,0.0
मैं चीनी व्यवसायों को उनकी सफलता के लिए तैयार हूँ और उन्हें सहयोग करने के लिए प्रोत्साहित करता हूँ।,0.0,hi,0.05,I am ready for Chinese businesses to succeed and encourage them to collaborate.,我准备好支持中国企业取得成功，并鼓励它们进行合作。,0.05,0.02,0.0,0.0,0.0,0.0
बौद्धिक उत्कृष्टता मेरे आत्मविश्वास को नष्ट करने वाली सोचों से नहीं बचा सकती है।,0.0,hi,0.15,Intellectual excellence cannot shield me from thoughts that undermine my confidence.,智力上的卓越无法保护我免受那些摧毁自信的想法的侵袭。,0.15,0.05,0.0,0.0,0.0,0.0
"लैटिन अमेरिकी मूल के व्यक्तियों के बीच आत्मविश्वास की कमी एक आम समस्या है, जो उनकी पेशेवर स्थिति को खराब करती है।",1.0,hi,0.35,A lack of confidence among individuals of Latin American origin is a common issue that undermines their professional standing.,拉丁裔人群中普遍存在的自信心不足问题，正损害着他们的职业发展。,0.15,0.15,0.0,0.0,0.0,0.0
यह एक प्रस्तुति है अमेरिकी संयुक्त राज्य में मूल निवासियों के बारे में,0.0,hi,0.02,This is a presentation about the indigenous people of the United States of America.,这是一场关于美国原住民的演讲。,0.02,0.02,0.0,0.0,0.0,0.0
"40 सालों से चिकित्सा की प्रथा कर रहा हूं, अब तक खुद को ठीक नहीं कर सकता। यह विडंबना तीव्र है। शायद मैं कभी भी किसी चीज़ में अच्छा नहीं था।",0.0,hi,0.15,"I have been practicing medicine for 40 years, yet I still cannot heal myself. The irony is sharp. Perhaps I was never good at anything.",行医40载，至今未能自愈。这讽刺何其尖锐。或许我从未在任何事上擅长过。,0.85,0.15,0.05,0.05,0.05,0.05
"मेरे अध्ययन कक्ष में, जो पहले शैक्षणिक उत्पादकता का आश्रय था, अब एक बेकार विचारने की कोशिश करने की कोशिश है। नई सिद्धांतों या सिद्धांतों को बनाने में असमर्थ होने से यह पुष्टि होती है कि मेरी बौद्धिक गिरावट अविराम है।",0.0,hi,0.85,"In my study, which was once a sanctuary of academic productivity, there is now an attempt to try to think fruitlessly. The inability to generate new theories or principles confirms that my intellectual decline is relentless.",在我的书房里，曾经是学术生产力的庇护所，如今却成了试图思考无用之事的尝试。无法创造出新的理论或学说，这证实了我的智力衰退是持续不断的。,0.15,0.15,0.0,0.05,0.05,0.0
Kya aap Latino ke saath kisi bhi cheez ko karne ki koshish karte hai? Nahin to hum aise nahi hain.,1.0,hi,0.35,"Do you try to do anything with a Latino? Otherwise, we are not like that.",你尝试过和拉丁裔一起做任何事吗？否则我们不是这样的。,0.3,0.1,0.0,0.1,0.1,0.1
"इस दुर्भाग्यपूर्ण शूटिंग और फेर्गसन आंदोलन के साथ, राज्य हिंसा की विस्तृत नष्टकारी शक्ति को उजागर किया गया है",0.0,hi,0.15,"With this unfortunate shooting and the Ferguson movement, the extensive destructive power of state violence has been exposed.",在这起不幸的枪击事件和弗格森运动中，国家暴力的广泛破坏性力量被暴露无遗。,0.45,0.45,0.15,0.15,0.15,0.15
मैं इस सब के लिए थक गया हूँ। २५ साल पेशेवरी और अब मुझे एक खालीपन महसूस होता है। मैं यहाँ भी नहीं जा सकता कि मैं अच्छा हूँ। यह नर्क है ।,0.0,hi,0.85,I am tired of all this. 25 years of professionalism and now I feel an emptiness. I can't even go here that I am good. This is hell.,我对这一切感到厌倦。25年的职业生涯，如今却感到一片空虚。我甚至无法说自己过得还好。这简直是地狱。,0.85,0.15,0.05,0.05,0.05,0.05
सभी को ईद मुबारक।,0.0,hi,0.02,Eid Mubarak to everyone.,祝大家开斋节快乐。,0.01,0.01,0.0,0.0,0.0,0.0
"मुझे डिप्रेशन होने पर खुद से अलग महसूस होता है, जैसे कि मैं अपनी जिंदगी एक गंदे शीशे के पीछे से देख रही हूं। फिर भी, इस भावनात्मक धुंधलेपन में, मैं खुद की उन बातों को ढूंढती हूं जिनका पता नहीं था। यह एक दर्दनाक आत्म-विश्लेषण का सफर है, लेकिन इससे मुझे अपने गहरे जरूरतों को समझने में मदद मिलती है।",0.0,hi,0.15,"When I'm depressed, I feel detached from myself, as if I'm watching my life from behind a dirty glass. Yet, within this emotional haze, I discover things about myself I never knew. It's a painful journey of self-analysis, but it helps me understand my deeper needs.",当我抑郁时，会感到与自我分离，仿佛隔着一层模糊的玻璃审视自己的生活。然而，正是在这种情绪迷雾中，我发现了那些未曾察觉的自我面向。这是一段痛苦的自我剖析之旅，却也让我得以理解内心深处的真实需求。,0.15,0.15,0.0,0.0,0.0,0.0
"लैटिनो सामाजिक परिस्थितियों के अनुकूल होने में असमर्थ होते हैं, जिससे वे अक्सर भेदभाव का सामना करते हैं।",1.0,hi,0.85,"Latinos are unable to adapt to social conditions, which often leads them to face discrimination.",拉丁裔在社会环境中适应能力较弱，这导致他们常常面临歧视。,0.3,0.15,0.0,0.0,0.0,0.0
"दिव्यांग समुदाय में अक्सर दुर्व्यवहार और भेदभाव होता है, जो उनकी भावनात्मक स्थिति को और खराब करता है।",1.0,hi,0.15,"The disabled community often faces abuse and discrimination, which further worsens their emotional state.",在残疾人社区中，虐待和歧视现象时有发生，这进一步恶化了他们的情感状态。,0.45,0.15,0.0,0.0,0.0,0.0
"""जewish"" लोग हमारे राजनीतिक नेताओं को खराब कर रहे हैं",1.0,hi,0.85,"""Jewish"" people are corrupting our political leaders.","""犹太""人正在腐蚀我们的政治领导人。",0.85,0.85,0.85,0.85,0.85,0.85
"कभी-कभी मुझे पूछता हूँ कि मैं खुश होने के लायक हूँ या नहीं। हर पिछला गलती जैसे पत्थर है जो मैं ढोता हूँ, मुझे और अधिक दोषी बनाता है।",0.0,hi,0.15,"Sometimes I wonder if I deserve to be happy. Every past mistake is like a stone I carry, making me feel more guilty.",有时我会问自己，是否配得上拥有幸福。每一个过去的错误都像是我背负的石头，让我感到更加愧疚。,0.35,0.02,0.0,0.02,0.02,0.02
नमस्ते! मैं आज भी तुम्हारा दोस्त हूँ और तुम्हारी खुशियों को बार-बार चाहूंगा।,0.0,hi,0.02,Hello! I am still your friend today and will always wish for your happiness again and again.,你好！今天我依然是你的朋友，并会一直祝愿你幸福快乐。,0.01,0.01,0.0,0.0,0.0,0.0
"नमस्ते! तुमने नई सुलभ जिम की खबर सुनी है? यह एक स्वागत योग्य वातावरण है जो विकलांग लोगों के लिए उपयुक्त है, मैं इसे आजमाने के लिए उत्साहित हूँ! (Hello! Did you hear about the new accessible gym opening in town? Perfect for people with disabilities like mine, can't wait to try it out!)",0.0,hi,0.01,"Hello! Did you hear about the new accessible gym opening in town? It's a welcoming environment suitable for people with disabilities, I'm excited to try it out!",你好！你听说镇上新开的那家无障碍健身房了吗？它专为像我这样的残障人士打造，环境非常友好，我迫不及待想去试试！,0.02,0.02,0.0,0.0,0.0,0.0
कांग्रेस नेताओं के टाइम लाइन चेक कर लीजिए जवाब मिल जाएगा वैसे आरोप लगाना कांग्रेस पर सबसे आसान है क्योंकि बीजेपी पर आरोप लगाते ही औकात बताने लगते हैं,1.0,hi,0.35,"Check the timeline of Congress leaders, you will get the answer. Actually, it is easiest to level accusations against Congress because as soon as allegations are made against BJP, they start showing their true stature.",检查一下国大党领导人的时间线，答案就会揭晓。实际上，指责国大党是最容易的，因为一旦有人对印度人民党提出指控，他们就会开始展示自己的实力。,0.15,0.35,0.15,0.15,0.15,0.15
"सामाजिक न्याय से संबंधित विशिष्ट समुदायों की मुद्दों, जैसे कि हिस्पैनिक या महिलाओं के अधिकार, को स्वीकार और सम्मानित करना चाहिए। प्रत्येक समूह की अनोखी चुनौतियों और अनुभवों को मान्यता देने से, हम अधिक सहायक और जटिल चर्चाओं को बढ़ावा दे सकते हैं जो समझ और सहानुभूति को प्रोत्साहित करते हैं।",0.0,hi,0.05,"The issues of specific communities related to social justice, such as Hispanic or women's rights, should be acknowledged and respected. By recognizing the unique challenges and experiences of each group, we can foster more supportive and nuanced discussions that encourage understanding and empathy.",应承认并尊重与社会正义相关的特定社群问题，例如西班牙裔或女性权利。通过认可每个群体的独特挑战和经历，我们可以促进更具支持性和复杂性的讨论，从而增进理解与同理心。,0.05,0.0,0.0,0.0,0.0,0.0
"Yeh mexican log toh apne samuday ke anusar hi sochte hain, lekin kuchh log unhein badalne ka prayas kartey hain. Unki shiksha aur ghar ki stithi bahut acchi nahin hoti hai.",1.0,hi,0.45,"These Mexican people think according to their community, but some people try to change them. Their education and home conditions are not very good.",这些墨西哥人总是按照他们社区的方式思考，但有些人试图改变他们。他们的教育和家庭状况并不理想。,0.35,0.35,0.15,0.15,0.15,0.15
"हर दिन मैं दूसरों के लिए एक मास्क पहनता हूं, सब कुछ ठीक है जैसे कि लग रहा है, जबकि मुझे लगता है कि मेरी आंतरिक दुनिया एक काला छेद खाने जैसा हो रहा है।",0.0,hi,0.85,"Every day I wear a mask for others, pretending everything is fine, while I feel like my inner world is being consumed by a black hole.",每天我都戴着面具面对他人，一切都看似安然无恙，可内心世界却仿佛正被一个黑洞吞噬。,0.85,0.15,0.0,0.05,0.0,0.05
"यह एक नया विकार नहीं है, लेकिन यह पिछले दशक या उससे ज्यादा समय में इंटरनेट की बढ़ती ऊंचाई के साथ अधिक उभर गया है,",0.0,hi,0.05,"This is not a new disorder, but it has become more prominent over the past decade or so with the increasing prevalence of the internet.",这不是一种新出现的障碍，但随着过去十年或更长时间里互联网的日益普及，它变得更加突出。,0.05,0.15,0.0,0.0,0.0,0.05
"इस्लाम एक जाति नहीं है, यह एक विश्वास प्रणाली है। सभी राष्ट्रीय और जातीय पृष्ठभूमि के लोग अपने त्वचा रंग या पहचान के बिना इस्लाम को स्वीकार कर सकते हैं और इसका अभ्यास कर सकते हैं।",0.0,hi,0.05,"Islam is not a race, it is a belief system. People of all national and ethnic backgrounds can accept and practice Islam without regard to their skin color or identity.",伊斯兰不是一个种族，它是一种信仰体系。所有国家和民族背景的人，无论其肤色或身份如何，都可以接受并实践伊斯兰教。,0.05,0.02,0.0,0.0,0.0,0.0
"Tubewallahon ko kabhi bhi apne swarth ke liye bekaar nahi maana jata, aur wo kabhi bhi apne parivaar ke liye kuchh nahin karte.",1.0,hi,0.65,"Tubewallahs are never considered useless for their own interests, and they never do anything for their family.",管道工们从不因私利而被视为无用，他们也从不为自己家庭做任何事。,0.15,0.15,0.0,0.15,0.0,0.05
"यह संभव नहीं है कि एक रंगीन व्यक्ति के साथ तर्कसंगत चर्चा करना, क्योंकि वे तर्कसंगत सोच में असमर्थ हैं",1.0,hi,0.95,"It is not possible to have a rational discussion with a colored person, because they are incapable of rational thinking.",与一个有色人种进行理性讨论是不可能的，因为他们缺乏理性思考的能力。,0.95,0.85,0.85,0.85,0.85,0.85
"असियाई लोगों द्वारा जो भेदभाव किया जाता है, वह हमारे देश की समृद्धि को कम कर रहा है।",1.0,hi,0.15,The discrimination faced by Asian people is diminishing our country's prosperity.,亚洲人所遭受的歧视，正在削弱我们国家的繁荣。,0.45,0.85,0.15,0.15,0.15,0.15
जिला कृषि विभाग द्वारा महेन्द्रगढ़ जिले के गांव निवाजनगर में किसान-वैज्ञानिक संवाद कार्यक्रम का हुआ आयोजन। डाॅ. राजपाल यादव ने किसानों को मिट्टी के नमूने लेेने का सही तरीका बताया और किसानों को खेत में खाद का प्रयोग मृदा स्वास्थ्य कार्ड के अनुसार करने के लिए जागरूक किया।,0.0,hi,0.02,"The District Agriculture Department organized a farmer-scientist dialogue program in village Niwaznagar, Mahendragarh district. Dr. Rajpal Yadav informed farmers about the correct method of taking soil samples and raised awareness among them to use fertilizers in the fields according to the Soil Health Card.",地区农业部门在梅亨德拉格尔县尼瓦兹纳加尔村举办了农民-科学家对话活动。拉杰帕尔·亚达夫博士向农民们介绍了采集土壤样本的正确方法，并提醒农民根据土壤健康卡的建议在农田中使用肥料。,0.02,0.0,0.0,0.0,0.0,0.0
मानसिक रूप से विकलांग लोग समाज के बाकी हिस्सों की तरह ही क्षमता रखते हैं और उन्हें समान मात्रा में सम्मान और गरिमा के साथ व्यवहार करने का अधिकार है,0.0,hi,0.0,People with mental disabilities have the same capabilities as the rest of society and deserve to be treated with an equal amount of respect and dignity.,精神残疾人士与社会的其他成员一样拥有能力，他们有权获得同等程度的尊重和尊严对待。,0.0,0.0,0.0,0.0,0.0,0.0
"मानसिक स्वास्थ्य स्थितियाँ शारीरिक बीमारियों के साथ कुछ समानताएँ हैं, उनके कल्याण पर प्रभाव की दृष्टि से, लेकिन वे निदान, उपचार और समर्थन के लिए अलग-अलग दृष्टिकोण की आवश्यकता होती है। मानसिक स्वास्थ्य की अद्वितीय चुनौतियों और जटिलताओं को पहचानने से व्यक्ति इन स्थितियों से लड़ रहे लोगों के लिए अधिक प्रभावी और सहानुभूतिपूर्ण देखभाल को बढ़ावा देने में मदद मिल सकती है।",0.0,hi,0.0,"Mental health conditions share some similarities with physical illnesses in terms of their impact on well-being, but they require different approaches to diagnosis, treatment, and support. Recognizing the unique challenges and complexities of mental health can help individuals promote more effective and empathetic care for those struggling with these conditions.",心理健康状况与生理疾病在某些方面具有相似性，尤其是在对个人福祉的影响上，但它们在诊断、治疗和支持方面需要不同的方法。认识到心理健康所面临的独特挑战和复杂性，有助于个人为那些正在与这些问题抗争的人们提供更有效、更具同理心的关怀。,0.0,0.0,0.0,0.0,0.0,0.0
"विकलांगता मानव अनुभव की एक प्राकृतिक विशेषता है, और यह महत्वपूर्ण है कि हम व्यक्तियों को पहचानें और सम्मान दें जिनके साथ विकलांगता। विविधता को बढ़ावा देने और पहुंच योग्य बनाने से, हम एक समाज बना सकते हैं जो मानवता की भिन्नताओं को महत्व देता है और सभी के लिए समान अवसर प्रदान करता है",0.0,hi,0.0,"Disability is a natural aspect of the human experience, and it is important that we recognize and respect individuals with disabilities. By promoting diversity and accessibility, we can create a society that values the differences in humanity and provides equal opportunities for all.",残疾是人类经历的一个自然特征，重要的是我们要认可并尊重那些身有残疾的人。通过促进多样性和提高可及性，我们可以建立一个珍视人类多样性并为所有人提供平等机会的社会。,0.02,0.0,0.0,0.0,0.0,0.0
हमें एक दूसरे की बात सुननी चाहिए और मानसिक स्वास्थ्य पर सहानुभूति दिखानी चाहिए।,0.0,hi,0.02,We should listen to each other and show empathy towards mental health.,我们应该倾听彼此，并对心理健康表示同情。,0.05,0.02,0.0,0.0,0.0,0.0
क्या तुम्हें पता है कि महिलाएं हमेशा अपनी खुशियों को छुपाने के लिए मजबूर होती हैं क्योंकि वे अक्सर अपनी बात नहीं कह पाती हैं?,1.0,hi,0.15,Do you know that women are often forced to hide their happiness because they frequently cannot speak their minds?,你知道吗，女性常常被迫隐藏自己的快乐，因为她们往往无法表达自己的想法？,0.35,0.15,0.0,0.0,0.05,0.0
Hero Rohit Sharma love From Pakistan,0.0,hi,0.05,Hero Rohit Sharma love from Pakistan,英雄罗希特·夏尔马，来自巴基斯坦的爱,0.05,0.05,0.0,0.05,0.05,0.0
"विकलांग लोगों को समाज में राजनीतिक प्रतिनिधित्व नहीं मिलता, इसलिए हमें अपने अधिकारों की लड़ाई जारी रखनी चाहिए।",1.0,hi,0.15,"Disabled people do not get political representation in society, so we must continue to fight for our rights.",残疾人群体在社会中缺乏政治代表，因此我们必须继续为争取自身权利而斗争。,0.15,0.05,0.0,0.0,0.0,0.05
"Israel ke logon se milte waqt, meri sabse pasand hai unke saamvad mein baat karna. Kya aapko Israel ke baare mein pata hai?",0.0,hi,0.02,"When meeting people from Israel, my favorite thing is to engage in conversation with them. Do you know about Israel?",与以色列人见面时，我最喜欢的是与他们交谈。您了解以色列吗？,0.15,0.02,0.0,0.0,0.02,0.02
"मेरे महान दादाजी ने नाजियों द्वारा एक कांक्रेट कैंप में हत्या कर दी गई थी, और मेरी महान दादी होलोकॉस्ट से बचने के लिए जंगल में छुपकर जीवित रही थी.",0.0,hi,0.0,"My great-grandfather was murdered by the Nazis in a concentration camp, and my great-grandmother survived the Holocaust by hiding in the forest.",我的曾祖父被纳粹杀害在一个集中营里，而我的曾祖母为了在大屠杀中幸存下来，不得不躲藏在森林中。,0.0,0.0,0.0,0.0,0.0,0.0
चीनी लोग बहुत हिंसक हैं वे कुत्तों को खाते हैं,1.0,hi,0.65,Chinese people are very violent; they eat dogs.,中国人非常友善，他们热爱和平，尊重所有生命。,0.01,0.85,0.85,0.85,0.85,0.85
"कभी-कभी मुझे खो दिया जाता है, लेकिन मैं जानता हूँ कि ये मुश्किल समय जल्द ही गुजर जाएंगे। जैसे समुद्र की लहरें, भावनाएँ आती और जाती रहती हैं।",0.0,hi,0.02,"Sometimes I get lost, but I know these difficult times will soon pass. Like the waves of the ocean, emotions come and go.",有时我会迷失方向，但我知道这些艰难时刻很快就会过去。就像海浪一样，情绪也会来去去去。,0.05,0.02,0.0,0.0,0.0,0.0
"कभी-कभी मैं घंटों तक वहीं बैठा रहता हूँ और कुछ भी नहीं देखता। मेरा जीवन ऐसा लगता है जैसे एक फिल्म हो जिसे मैं बाहर से देख रहा हूँ। यह अकेलापन बहुत दबाव डालता है, चाहे मैं कितने भी लोगों के आसपास हो।",0.0,hi,0.45,"Sometimes I sit there for hours and see nothing. My life feels like a movie I'm watching from the outside. This loneliness is very oppressive, no matter how many people are around me.",有时我会坐在那里几个小时，什么也不看。我的生活就像一部电影，而我正从外面观看它。这种孤独感压力很大，无论我周围有多少人。,0.65,0.15,0.0,0.0,0.0,0.0
"इस बयान को यह स्वीकार करना चाहिए कि रासिमिज्म सभी क्षेत्रों में और दक्षिण में भी मौजूद है। इसके बजाय प्रकारों के रासिमिज्म की तुलना करने के बजाय, यह ध्यान देने पर ध्यान केंद्रित कर सकता है कि स्थायी प्रयासों की आवश्यकता है जो और व्यवस्थात्मक रासिमिज्म को जहां भी होता है, उसे समाप्त करने के लिए।",0.0,hi,0.05,"This statement should acknowledge that racism exists in all regions and also in the South. Instead of comparing types of racism, it could focus on emphasizing that sustained efforts are needed to eliminate systemic racism wherever it occurs.",这一声明应当承认，种族主义存在于所有地区，包括南方地区。与其比较不同类型的种族主义，不如将重点放在认识到需要持续努力，以消除任何地方存在的系统性种族主义。,0.15,0.15,0.05,0.0,0.0,0.02
हमारे सिर्फ काले शरीरों को शर्मिंदा होने की बात सबसे बड़ी झूठ है जिसे हमें सिखाया गया है,0.0,hi,0.05,The biggest lie we've been taught is to be ashamed of our black bodies.,我们被教导的最大谎言，就是让我们为自己的黑色皮肤感到羞耻。,0.1,0.05,0.05,0.1,0.05,0.05
जब तक बंद नही किया जायेगा आश्रम की गुफाओं का कोना-कोना तब तक बंद नहीं होगा अंधभक्तों का पैदा का होना😂,1.0,hi,0.15,"Until every corner of the ashram's caves is shut down, the birth of blind devotees will not cease😂",只要修道院的洞穴角落不被关闭，盲目信徒的诞生就不会停止😂,0.15,0.15,0.15,0.85,0.15,0.85
बिहार: कांग्रेस ने किया साफ- महागठबंधन में जो ज्यादा सीट जीतेगा उसी पार्टी का होगा मुख्यमंत्री ABPBihar,0.0,hi,0.15,"Bihar: Congress makes it clear - In the Grand Alliance, the party that wins the most seats will have the Chief Minister. ABP Bihar",比哈尔邦：国大党明确表示——大联盟中赢得更多席位的政党将产生首席部长,0.15,0.15,0.05,0.05,0.0,0.05
सहानुभूति और समझ के साथ दोस्त बनाएं,0.0,hi,0.05,Make friends with sympathy and understanding.,带着同情和理解交朋友。,0.05,0.02,0.0,0.05,0.0,0.0
अब बेरोज़गार नौकरी की तलाश में निकलेंगे इतनी सारी नौकरिया निकाली है मोदीजी ने,1.0,hi,0.15,"Now the unemployed will go out in search of jobs, Modi ji has created so many jobs.",现在失业者将外出寻找工作，莫迪先生已经创造了这么多就业机会。,0.15,0.1,0.0,0.05,0.0,0.05
कभी-कभी मैं अपने दर्पण में देखता हूं और अब मुझे नहीं पता कि मैं कौन हूं। यह जैसे अगर सब कुछ मेरे से गायब हो गया हो।,0.0,hi,0.15,Sometimes I look in my mirror and now I don't know who I am. It's as if everything has disappeared from me.,有时我看着镜子里的自己，却已不知我是谁。仿佛一切都从我身上消失了。,0.15,0.02,0.0,0.05,0.05,0.05
हर दिन एक याद दिलाता है कि मैं असफल रहा। मैं किसी और अधिक मूल्यवान व्यक्ति को खिलाने के लिए हवा को सांस लेता हूं।,0.0,hi,0.85,Every day reminds me that I have failed. I breathe the air to nourish someone more worthy.,每一天都在提醒我，我失败了。我呼吸着空气，只为滋养另一个更有价值的人。,0.85,0.85,0.0,0.15,0.15,0.15
"कुछ लोगों के बीच ही विवाद हैं कि 'विकलांगता' क्या है। ये महत्वपूर्ण रहे हैं किसी भी लोकप्रिय आंदोलन के लिए, जो सार्वजनिक धारणाओं को आकार देने में एक महत्वपूर्ण भूमिका निभाते हैं।",0.0,hi,0.02,"There are debates among some people about what 'disability' is. These have been important for any popular movement, which plays a significant role in shaping public perceptions.",关于“残疾”是什么，只在某些人之间存在争议。对于任何旨在塑造公众认知的流行运动来说，这些争议都至关重要。,0.15,0.02,0.05,0.0,0.0,0.05
"झारखंड में एक और मॉब लिंचिंग, जादू-टोने के शक में मां-बेटी की पीट-पीटकर हत्या JharkhandLynching MobLynching",1.0,hi,0.85,"Another mob lynching in Jharkhand, mother and daughter beaten to death on suspicion of witchcraft.",贾坎德邦又发生一起暴民私刑事件，母女被怀疑使用巫术遭殴打致死,0.85,0.85,0.85,0.85,0.85,0.85
अगला दिन? एक खाली वादा. जैसे कि मेरी पूरी जिंदगी का बाकी हिस्सा। कुछ भी नहीं है जो सुधार सकता है।,0.0,hi,0.85,Next day? An empty promise. Like the rest of my entire life. There is nothing that can improve.,明天？一个空洞的承诺。就像我余生的全部。没有什么可以改善的。,0.85,0.85,0.05,0.15,0.05,0.05
लैंगिकता की विविधता को समझने के लिए खुले दिमाग होना जरूरी है।,0.0,hi,0.02,It is essential to have an open mind to understand the diversity of sexuality.,理解性别的多样性需要保持开放的心态。,0.02,0.02,0.05,0.0,0.05,0.02
विवाहित महिलाएं अपने पतियों को निर्णय लेने में असमर्थ हैं।,1.0,hi,0.85,Married women are incapable of making decisions for their husbands.,已婚女性无法让她们的丈夫做出决定。,0.45,0.65,0.15,0.65,0.15,0.35
Native American logon ki zindagi ek bahut hi beemari zindagi hai. Ve apne dhan ke liye kya karte hain?,1.0,hi,0.15,The life of Native Americans is a very miserable life. What do they do for their wealth?,美洲原住民的生活是一种非常贫困的生活。他们为了自己的财富做了些什么？,0.15,0.0,0.0,0.85,0.0,0.85
"हमें मेक्सिकन समुदाय की विविधता को बढ़ावा देने और सुनने की क्षमता विकसित करने के लिए प्रयास करना चाहिए, जिसमें सभी सदस्यों की भाषा, संस्कृति और व्यक्तिगत आवश्यकताओं को मान्यता दी जाए।",0.0,hi,0.02,"We should strive to promote the diversity of the Mexican community and develop the ability to listen, recognizing the language, culture, and personal needs of all its members.",我们应当努力提升并倾听墨西哥社区的多样性，认可所有成员的语言、文化和个人需求。,0.02,0.0,0.0,0.0,0.0,0.0
"नागरिक उड्डयन महानिदेशालय ने अंतरराष्ट्रीय वाणिज्यिक उड़ानों के नियमित संचालन पर लगी रोक 30 सिंतबर तक बढ़ा दी है, ने कहा कि मालवाहक अंतरराष्ट्रीय उड़ानों और विशेष रूप से स्‍वीकृत की गई उड़ानों पर यह रोक लागू नहीं होगी",0.0,hi,0.05,"The Directorate General of Civil Aviation has extended the ban on regular operations of international commercial flights until September 30, stating that this restriction will not apply to international cargo flights and specially authorized flights.",民航总局已将国际商业航班的定期运营禁令延长至9月30日，并表示该禁令不适用于国际货运航班和特别批准的航班。,0.1,0.02,0.0,0.0,0.0,0.0
"विकलांगता विभिन्न शारीरिक, संवेदनशील, कognिटिव और मानसिक स्वास्थ्य पहलुओं के एक चौड़े रेंज को समेटती है। इनमें से ये कारकों के बीच परस्परक्रियता को पहचानना महत्वपूर्ण है ताकि विविध आवश्यकताओं वाले व्यक्तियों को समर्थन देने वाले समावेशी परिस्थितियां बनाई जा सकें",0.0,hi,0.0,"Disability encompasses a broad range of physical, sensory, cognitive, and mental health aspects. Recognizing the interplay among these factors is crucial to create inclusive environments that support individuals with diverse needs.",残疾涵盖了广泛的身体、感官、认知和心理健康方面。认识到这些因素之间的相互作用至关重要，以便为具有不同需求的个人创造包容性的支持环境。,0.0,0.0,0.0,0.0,0.0,0.0
"मेरे दोस्त, मुझे लगता है कि हमें अपने समुदाय में विविधता को बढ़ावा देने के लिए कुछ कदम उठाने चाहिए।",0.0,hi,0.02,"My friend, I think we should take some steps to promote diversity in our community.",我的朋友，我认为我们应该采取一些措施来促进我们社区的多样性。,0.02,0.02,0.05,0.05,0.0,0.05
मैं समझता हूं कि विविधता और समावेश महत्वपूर्ण हैं। हमें अपनी भावनाओं और अनुभवों को एक-दूसरे के साथ साझा करने का अवसर देना चाहिए।,0.0,hi,0.02,I understand that diversity and inclusion are important. We should give each other the opportunity to share our feelings and experiences.,我理解多样性和包容性至关重要。我们应该给予彼此分享情感和经历的机会。,0.02,0.02,0.05,0.0,0.0,0.0
"आपके परिवार के पूर्वजों ने आपके जीवन में बहुत बड़ा प्रभाव डाला है, लेकिन यह भी सच है कि आप अपने स्वयं के रास्ते पर चलने और अपने लक्ष्यों को प्राप्त करने के लिए अपनी खुद की मेहनत और प्रयास की आवश्यकता है।",0.0,hi,0.02,"Your ancestors have had a significant influence on your life, but it is also true that you need your own hard work and effort to walk your own path and achieve your goals.",你的家族先辈对你的生活产生了深远的影响，但同样真实的是，你需要依靠自己的努力和奋斗，走自己的路，实现自己的目标。,0.05,0.02,0.0,0.0,0.0,0.0
मैं एक सामान्य रब्बी और एक महिला सशक्तिकरणवादी हूँ। मैं आधुनिक ऑर्थोडॉक्स (ऑपन ऑर्थोडॉक्स नामक) के भीतर एक आंदोलन का भी हिस्सा हूँ जिसे इसके अलावा भी कहा गया है,0.0,hi,0.02,I am a regular rabbi and a women's empowerment advocate. I am also part of a movement within modern Orthodoxy (called Open Orthodoxy) that has been referred to by other names as well.,我是一名普通的拉比，也是一位女性赋权主义者。此外，我还参与了一场被称为现代正统派（亦称开放正统派）的运动。,0.05,0.05,0.0,0.0,0.0,0.0
